Time(s),P_Fuel_Tank(bar),P_Chamber(bar),P_Fuel_Injector_Warm(bar),P_Fuel_Injector_Cold(bar),P_Ox_Injector(bar),Fuel_Flow_Rate(L/s),Ox_Valve_Angle(deg),Fuel_Valve_Angle(deg),P_Ox_Tank(bar),P_N2_Tank(bar),Engine_Temperature(K),Tank_Mass(kg),Thrust(N)
5376.247674465179,30.64842296886125,14.98874598163999,22.502365357388076,22.684562881872758,30.65553786923723,0.16845694879257636,180.0,150.0,32.534568786621094,194.8223114013672,13.109375,1.4725630283355713,-216.16270446777344
5376.25638794899,30.64084243774414,14.97312068939209,22.497852325439453,22.682167053222656,30.643903732299805,0.1707661300897598,180.0,150.0,32.519032251072616,194.9776735793214,,1.4599909301801328,-217.01233164727333
5376.268595933914,30.640681290305096,14.976174433361939,22.487674442774775,22.68294150885617,30.652977281043988,0.18113017655602945,180.0,150.0,32.49726486206055,195.19534301757807,13.109375,1.4423768520355225,-218.20269775390625
5376.280951976776,30.64051818847656,14.979265213012695,22.477373123168945,22.683725357055664,30.66216087341309,0.1916199177503585,180.0,150.0,32.49458809022556,194.70649044214068,,1.4382946563359427,-217.92068750136266
5376.288458585739,30.646410872640345,14.992198295616875,22.474965401383532,22.663370079021636,30.650564467490035,0.191153628574076,180.0,150.0,32.49296188354492,194.4095001220703,13.109375,1.435814619064331,-217.74935913085935
5376.299439907074,30.655031204223636,15.011117935180664,22.47144317626953,22.63359260559082,30.63360023498535,0.1904715001583099,180.0,150.0,32.476805957538744,194.6880997384651,,1.4126487728160646,-216.53342271012102
5376.309611320496,30.637630666887663,14.982370239328471,22.467217735985166,22.636733370998066,30.614736039983867,0.18801030711187713,180.0,150.0,32.46184158325195,194.94615173339844,13.2109375,1.391191482543945,-215.40716552734372
5376.317254304886,30.624555587768555,14.960768699645996,22.46404266357422,22.63909339904785,30.600561141967773,0.186160922050476,180.0,150.0,32.467928626341205,195.11683329431534,,1.4052031357625587,-216.1561758158532
5376.329656600952,30.609282185236648,15.007784506947852,22.474403469172827,22.660114571747357,30.583906369257466,0.18720947827515444,180.0,150.0,32.477806091308594,195.393798828125,13.2109375,1.4279398918151855,-217.37159729003903
5376.339601993561,30.597034454345703,15.045486450195312,22.482711791992188,22.676971435546875,30.5705509185791,0.18805031478405,180.0,150.0,32.45127398202884,195.28331765787067,,1.4261370424130273,-218.37485686397633
5376.3513770103455,30.570925375859126,14.98119346606684,22.425945326979,22.623967519640217,30.53533954040354,0.17150189906459412,180.0,150.0,32.41986083984375,195.1525115966797,13.2109375,1.4240025281906128,-219.56268310546875
5376.355408191681,30.561986923217773,14.959182739257812,22.40651130676269,22.60582160949707,30.52328491210937,0.1658365428447723,180.0,150.0,32.42088173343501,195.2297142667508,,1.435401190379891,-219.45585988202225
5376.371335506439,30.59066325177043,14.99288529673708,22.453034497913485,22.64213964381125,30.526978065397834,0.16725287236725572,180.0,150.0,32.4249153137207,195.5347442626953,13.2109375,1.4804376363754272,-219.03379821777344
5376.377889156342,30.602462768554688,15.006752967834473,22.472177505493164,22.65708351135254,30.52849769592285,0.1678356528282165,180.0,150.0,32.40706987364496,195.67902422513205,,1.4653563706153387,-217.7666925961435
5376.392437696457,30.589383473691377,15.007377703856603,22.450714848199553,22.61491234239203,30.49349611654965,0.16908569429333034,180.0,150.0,32.367454528808594,195.9993133544922,13.2109375,1.4318772554397583,-214.95382690429688
5376.396544456482,30.585691452026367,15.007554054260254,22.444656372070312,22.603008270263672,30.48361587524414,0.1694385558366775,180.0,150.0,32.36112920237864,196.13989389081055,,1.425688667856612,-215.4649896091967
5376.412469387054,30.58272487633551,15.019489865052833,22.457321679751384,22.597455725954216,30.470163709679642,0.17314777715879928,180.0,150.0,32.33660125732422,196.68502807617188,13.390625,1.40169095993042,-217.4471435546875
5376.419049501419,30.581499099731445,15.024421691894531,22.462554931640625,22.59516143798828,30.4646053314209,0.1746804118156433,180.0,150.0,32.326412329969855,196.41130182350497,,1.4158937320283507,-216.87728416577215
5376.432535171509,30.570245786184845,15.015655157410094,22.452078800379983,22.59545862595834,30.452469645344646,0.17199572286309023,180.0,150.0,32.3055305480957,195.85031127929688,13.390625,1.4450017213821411,-215.7093811035156
5376.444235801697,30.560482025146484,15.008049011230469,22.442989349365234,22.59571647644043,30.441940307617188,0.1696663945913314,180.0,150.0,32.30973682977196,196.1117305105372,,1.435300029628325,-215.47666798230722
5376.451529502869,30.55575658622391,14.948204870588354,22.393211181030914,22.546946592628434,30.432737921799355,0.1673056644084283,180.0,150.0,32.31235885620117,196.27468872070312,13.390625,1.4292523860931396,-215.33160400390625
5376.45783996582,30.551668167114254,14.896428108215332,22.350143432617188,22.504751205444336,30.424776077270508,0.1652631759643554,180.0,150.0,32.292872494244286,196.30450880930303,,1.4217063420487166,-215.44020738042235
5376.473480463028,30.55944996456776,14.958714679504107,22.407613416090697,22.570217597442877,30.409399909365963,0.17136911803542842,180.0,150.0,32.24457550048828,196.37841796875,13.390625,1.403003454208374,-215.7093811035156
5376.478690624237,30.562042236328125,14.979463577270508,22.4267578125,22.592025756835938,30.404277801513672,0.1734031289815902,180.0,150.0,32.2418563906712,196.37496404589177,,1.40611604334117,-215.76911105003342
5376.493252515793,30.551117510336354,14.966799718617043,22.397210989084567,22.570678126379388,30.386193200133146,0.1689674581216097,180.0,150.0,32.234256744384766,196.3653106689453,13.390625,1.4148154258728027,-215.93605041503903
5376.502047300339,30.54451942443848,14.959151268005373,22.379365921020508,22.557785034179688,30.37527084350586,0.1662884950637817,180.0,150.0,32.21312605474624,196.3696537620817,,1.4303804278335392,-216.16835898170658
5376.513275146484,30.545298437742158,14.922450061354938,22.37700583337858,22.553076382761272,30.360720811002455,0.16928822926173756,180.0,150.0,32.18614959716797,196.3751983642578,13.390625,1.4502514600753784,-216.4649353027344
5376.520630836487,30.545808792114254,14.89840602874756,22.375459671020508,22.549991607666016,30.35118865966797,0.1712534427642822,180.0,150.0,32.18891259652842,196.4307079126993,,1.442804293466807,-216.08665140504263
5376.535312652588,30.545386460109945,14.93725994839275,22.398641699647715,22.564558313305856,30.318829031716298,0.17071548292641203,180.0,150.0,32.194427490234375,196.54150390625,13.640625,1.4279398918151855,-215.33160400390625
5376.543042421341,30.545164108276367,14.95771598815918,22.41084671020508,22.572227478027344,30.30179214477539,0.1704322546720504,180.0,150.0,32.17740880720409,196.4821916200794,,1.4350692776056213,-215.74202986754352
5376.555234193802,30.548905739021734,14.994273612025328,22.41230603388046,22.57461625935691,30.3039103562218,0.17030001325020644,180.0,150.0,32.15056610107422,196.38864135742188,13.640625,1.4463140964508057,-216.38937377929688
5376.5616064071655,30.550861358642575,15.013381004333496,22.413068771362305,22.57586479187012,30.30501747131348,0.170230895280838,180.0,150.0,32.15666795230928,196.463493652118,,1.427480325397942,-216.58212707512976
5376.5752165317535,30.55629259467551,14.988245268188132,22.38249221405632,22.56030157139677,30.276479014840955,0.16906989669034042,180.0,150.0,32.169700622558594,196.6233673095703,13.640625,1.3872541189193726,-216.9938201904297
5376.587335109711,30.561128616333008,14.965864181518556,22.35526657104492,22.546443939208984,30.25106811523437,0.1680361330509185,180.0,150.0,32.1343968129405,196.5983295648197,,1.405363427869613,-216.24320999395033
5376.597173452377,30.55242441017472,14.964827762243948,22.385104508257488,22.55302168968021,30.249194732437953,0.16812269959551016,180.0,150.0,32.105735778808594,196.5780029296875,13.640625,1.4200652837753296,-215.6338348388672
5376.604834318161,30.54564666748047,14.96402072906494,22.40833854675293,22.558143615722656,30.24773597717285,0.1681901067495346,180.0,150.0,32.094908159639935,196.64179482065992,,1.4200652837753296,-216.32291795517992
5376.616492986679,30.541418103989006,14.977405001881953,22.412782466013944,22.56391409121988,30.229661096826018,0.1690251688804078,180.0,150.0,32.07843017578125,196.73887634277344,13.8046875,1.4200652837753296,-217.37159729003903
5376.630029201508,30.536508560180664,14.992944717407228,22.41794204711914,22.570613861083984,30.208675384521484,0.1699947118759155,180.0,150.0,32.06162915859662,196.63207700040007,,1.435662595461203,-215.80025337035025
5376.6392731666565,30.52285151167319,14.969700792702094,22.379104761627598,22.533621215385175,30.194225562682647,0.16964486755743158,180.0,150.0,32.05015563964844,196.55914306640625,13.8046875,1.4463140964508057,-214.7271728515625
5376.650512456894,30.50624656677246,14.941439628601074,22.331884384155277,22.488643646240234,30.17665672302246,0.169219508767128,180.0,150.0,32.02986881559477,196.6432255957424,,1.4510904818176058,-217.47685164137255
5376.660891294479,30.50748436243731,14.960970708884076,22.351162019406832,22.51675100770002,30.16658129471859,0.1711709215797987,180.0,150.0,32.01113510131836,196.7208709716797,13.8046875,1.4555011987686155,-220.0160217285156
