Time(s),P_Fuel_Tank(bar),P_Chamber(bar),P_Fuel_Injector(bar),P_Ox_Tank(bar),W_Tank(N),Thrust(N),Fuel_Flow_Rate(L/s)
1.0218490000006568,45.559936,1.0343719999999998,0.959235,46.699062999999995,-252.823273,1.8383510000000003,0.0
1.0270000000000437,45.587337,1.022886,1.018206,46.661522,-253.060989,1.3669790000000002,0.0
1.032016000001022,45.537479,1.038849,0.995396,46.726532,-254.109695,0.8484700000000003,0.0
1.038099000001239,45.527148000000004,1.147527,1.019253,46.701332,-253.424545,1.4612530000000001,0.0
1.043111000000863,45.556957000000004,1.115065,1.00414,46.705326,-252.809296,0.18854900000000008,0.0
1.049183000000994,45.598602,0.9879899999999999,0.964035,46.790756,-253.578354,0.8013319999999999,0.0
1.0550160000002506,45.566776000000004,1.0285799999999998,1.020754,46.663861,-254.403336,1.6498020000000002,0.0
1.0610000000015134,45.54354,1.123387,1.020789,46.688904,-253.088959,2.35686,0.0
1.0664230000002135,45.588886,1.0342259999999999,1.020894,46.648209,-253.158859,1.885488,0.0
1.072014000001218,45.561713000000005,1.031062,1.010981,46.721821,-254.459274,2.074036,0.0
1.077052000000549,45.528327000000004,1.056565,0.998799,46.722901,-253.508438,0.28282300000000005,0.0
1.0830190000015136,45.540683,1.1279139999999999,1.004803,46.764736,-252.809296,0.6127830000000003,0.0
1.0881420000005164,45.588557,1.032376,0.9947849999999999,46.716007,-253.844025,1.272704,0.0
1.0940000000009604,45.532047,1.031938,1.004279,46.707875,-254.109695,1.17843,0.0
1.0990149999997811,45.540149,0.9855569999999999,1.020004,46.718188999999995,-253.536407,0.7541950000000002,0.0
1.1048510000000533,45.577781,1.090487,1.021051,46.763199,-253.284714,1.2255670000000003,0.0
1.110000000000582,45.586276,1.1267939999999999,1.020562,46.717301,-253.997833,1.885488,0.0
1.1150140000008832,45.554961,1.156579,1.004942,46.667092,-253.885971,1.5083900000000003,0.0
1.1210140000002866,45.53992,1.07063,0.998014,46.740109,-253.060989,1.9326250000000003,0.0
1.1270330000006652,45.571792,1.072285,0.9774029999999999,46.678139,-253.074966,0.8013319999999999,0.0
1.1330140000009123,45.556358,1.1254309999999998,1.022691,46.730335,-253.690216,1.885488,0.0
1.1390150000006543,45.527725000000004,1.073794,1.01681,46.626236,-253.340637,1.5083900000000003,0.0
1.1458380000003672,45.585994,1.070679,0.989532,46.534157,-252.41777,0.8013319999999999,0.0
1.1510159999997995,45.585918,1.032766,1.034367,46.53196,-253.368607,0.9427440000000002,0.0
1.1570140000003448,45.595832,1.1218789999999998,1.009567,46.443722,-252.249985,1.885488,0.0
1.1630150000000867,45.52732,1.142952,1.005815,46.390038,-251.746597,3.299604,0.0
1.1681189999999333,45.456348,1.098177,1.0199509999999998,46.354541999999995,-252.977097,7.4476759999999995,0.0
1.1740150000005087,45.347717,1.2129379999999998,1.0324119999999999,46.332131,-251.928375,5.797875,0.0
1.1800160000002506,45.266967,1.171862,1.197928,46.144818,-248.418686,5.797875,0.0
