Time(s),P_N2_Tank(bar),P_Ox_Tank(bar),P_Fuel_Tank(bar),T_Ox_Tank(C)
74.17575474214554,1.586972,1.008332,1.253261,-4.539062
74.18275474214553,1.55214,1.00457,1.250824,-4.539062
74.18975474214554,1.537789,0.995271,1.250717,-4.539062
74.19675474214554,1.580253,0.999481,1.251272,-4.539062
74.20375474214553,1.522308,1.000144,1.248656,-4.539062
74.21075474214554,1.524942,1.002473,1.244499,-4.539062
74.21775474214554,1.548808,1.003405,1.249606,-4.539062
74.22475474214554,1.58337,1.001506,1.251917,-4.539062
74.23175474214554,1.573265,0.998783,1.251165,-4.539062
74.23875474214555,1.542841,1.005125,1.241597,-4.578125
74.24575474214554,1.54311,1.004928,1.248638,-4.578125
74.25275474214554,1.607021,1.002061,1.251057,-4.578125
74.25975474214553,1.577189,1.002438,1.253601,-4.578125
74.26675474214554,1.565148,0.996668,1.251147,-4.578125
74.27375474214554,1.577511,1.009372,1.243747,-4.578125
74.28075474214553,1.592454,1.006917,1.243998,-4.578125
74.28775474214554,1.582886,1.010769,1.236365,-4.578125
74.29475474214554,1.544615,1.009694,1.240988,-4.578125
74.30175474214553,1.540369,1.00233,1.245825,-4.578125
74.30875474214554,1.617879,0.996328,1.243407,-4.578125
74.31575474214554,1.588477,0.996131,1.241651,-4.578125
74.32275474214553,1.542573,1.009658,1.243209,-4.617188
74.32975474214554,1.57133,1.010106,1.255035,-4.617188
74.33675474214554,1.580414,1.006236,1.251308,-4.617188
74.34375474214553,1.563858,1.006989,1.250735,-4.617188
74.35075474214554,1.56617,0.997528,1.235613,-4.617188
74.35775474214554,1.564826,0.999768,1.232083,-4.617188
74.36484774208068,1.630027,0.99631,1.233319,-4.617188
74.37175474214554,1.598313,0.999428,1.235648,-4.617188
74.37875474214553,1.539509,1.008852,1.239895,-4.617188
74.38575474214554,1.559075,1.009605,1.25009,-4.617188
74.39275474214554,1.577404,1.006989,1.253368,-4.617188
74.39975474214553,1.561278,0.999804,1.243227,-4.617188
74.40675474214554,1.551012,0.998191,1.246004,-4.484375
74.41375474214554,1.54784,1.004892,1.240235,-4.484375
74.42075474214553,1.558483,1.003316,1.247348,-4.484375
74.42775474214554,1.594443,1.014353,1.24518,-4.484375
74.43475474214554,1.574286,1.006379,1.250376,-4.484375
74.44175474214553,1.553914,1.014191,1.245359,-4.484375
74.44875474214554,1.544293,1.014048,1.240325,-4.484375
74.45575474214554,1.572405,1.012633,1.242887,-4.484375
74.46275474214553,1.526232,1.015553,1.235881,-4.484375
74.46975474214554,1.530049,1.009551,1.238175,-4.484375
74.47675474214554,1.559934,1.007419,1.241454,-4.484375
74.48375474214554,1.56445,1.016915,1.247689,-4.484375
74.49075474214554,1.534187,1.00792,1.242941,-4.484375
74.49775474214553,1.50973,1.006774,1.241077,-4.484375
74.50475474214554,1.518599,1.005197,1.245109,-4.484375
74.51175474214554,1.578479,1.011289,1.236293,-4.484375
74.51875474214553,1.552409,1.014263,1.233319,-4.484375
74.52575474214554,1.539778,1.020355,1.244105,-4.484375
74.53275474214554,1.57133,1.015732,1.251111,-4.5
74.53975474214553,1.61976,1.026303,1.246309,-4.5
74.54675474214554,1.575899,1.014783,1.251792,-4.5
74.55375474214554,1.538488,1.016897,1.245037,-4.5
74.56075474214553,1.548754,1.008135,1.240737,-4.5
74.56775474214554,1.613847,1.015302,1.253996,-4.5
74.57475474214554,1.570524,1.005878,1.248979,-4.5
74.58175474214553,1.551388,1.01455,1.238945,-4.5
74.58875474214554,1.564181,1.018545,1.235397,-4.5
74.59575474214554,1.607236,1.018259,1.233677,-4.5
74.60275474214554,1.553377,1.02702,1.236813,-4.5
74.60975474214554,1.564826,1.022487,1.238049,-4.5
74.61675474214555,1.546013,1.022182,1.240737,-4.570312
74.62375474214554,1.596486,1.022487,1.241991,-4.570312
74.63075474214554,1.570147,1.009515,1.252132,-4.570312
74.63775474214553,1.565363,1.015679,1.248764,-4.570312
74.64475474214554,1.5358,1.011826,1.247115,-4.570312
74.65175474214554,1.613202,1.011038,1.24742,-4.570312
74.65875474214553,1.571867,1.020427,1.24346,-4.570312
74.66575474214554,1.544723,1.01102,1.251344,-4.570312
74.67275474214554,1.558483,1.013403,1.252311,-4.570312
74.67975474214553,1.592185,1.020462,1.24389,-4.570312
74.68675474214554,1.538219,1.019101,1.2383,-4.570312
74.69375474214554,1.529242,1.014156,1.246829,-4.570312
74.70075474214553,1.519137,1.015643,1.249015,-4.570312
74.70775474214554,1.57649,1.017667,1.249928,-4.570312
74.71475474214554,1.545798,1.011378,1.251326,-4.570312
74.72175474214554,1.53967,1.014012,1.242188,-4.570312
74.72875474214554,1.550367,1.015051,1.243245,-4.570312
74.73575474214555,1.572029,1.022469,1.235577,-4.570312
74.74275474214554,1.524458,1.024565,1.235415,-4.515625
74.74975474214554,1.516611,1.017345,1.230166,-4.515625
74.75675474214553,1.544669,1.012722,1.228732,-4.515625
74.76375474214554,1.593476,1.014908,1.227084,-4.515625
74.77075474214554,1.557784,1.022971,1.237279,-4.515625
74.77775474214553,1.529027,1.019298,1.23133,-4.515625
74.78475474214554,1.539778,1.015356,1.229288,-4.515625
74.79175474214554,1.591164,1.02057,1.242654,-4.515625
74.79875474214553,1.556548,1.025497,1.235254,-4.515625
74.80575474214554,1.517524,1.013869,1.235505,-4.515625
74.81275474214554,1.561923,1.00878,1.238264,-4.515625
74.81975474214553,1.578533,1.014245,1.243138,-4.515625
74.82675474214554,1.550367,1.023078,1.22927,-4.617188
74.83375474214554,1.542573,1.019495,1.233946,-4.617188
74.84075474214553,1.539348,1.015876,1.232477,-4.617188
74.84775474214554,1.592562,1.008691,1.242743,-4.617188
74.85475474214554,1.552194,1.017309,1.246775,-4.617188
74.8625757420063,1.539079,1.011826,1.24785,-4.617188
74.86975474214555,1.548217,1.009049,1.245807,-4.617188
74.87675474214554,1.580038,1.009282,1.244822,-4.617188
74.88375474214554,1.567567,1.011307,1.245485,-4.617188
74.89075474214553,1.54913,1.012776,1.241955,-4.617188
74.89775474214554,1.534241,1.003065,1.251272,-4.617188
74.90475474214554,1.591487,1.000234,1.248853,-4.617188
74.91175474214553,1.542411,1.004785,1.242815,-4.570312
74.91875474214554,1.536875,1.018509,1.242278,-4.570312
74.92575474214554,1.550904,1.019083,1.25009,-4.570312
74.93275474214553,1.584338,1.021215,1.252168,-4.570312
74.93975474214554,1.564826,1.01962,1.238193,-4.570312
74.94675474214554,1.517632,1.011898,1.245216,-4.570312
74.95375474214553,1.521932,1.017327,1.250932,-4.570312
74.96075474214554,1.575523,1.018366,1.259908,-4.570312
74.96775474214554,1.537789,1.01059,1.256128,-4.570312
74.97475474214554,1.512472,1.0136,1.250287,-4.570312
74.98175474214554,1.527952,1.01197,1.253996,-4.570312
74.98875474214555,1.546335,1.006218,1.254927,-4.570312
74.99575474214554,1.528113,1.009103,1.256128,-4.570312
75.00275474214554,1.529404,1.007831,1.260553,-4.570312
75.00975474214553,1.507473,1.010913,1.261915,-4.570312
75.01675474214554,1.543164,1.010769,1.26333,-4.570312
75.02375474214554,1.56273,1.013027,1.255698,-4.570312
75.03075474214553,1.533059,1.016431,1.260661,-4.570312
75.03775474214554,1.52763,1.017255,1.259711,-4.539062
75.04475474214554,1.566653,1.024583,1.262775,-4.539062
75.05175474214553,1.539079,1.020122,1.252043,-4.539062
75.05875474214554,1.517309,1.025748,1.253852,-4.539062
75.06575474214554,1.513654,1.027665,1.252061,-4.539062
75.07275474214553,1.563267,1.019441,1.255519,-4.539062
75.07975474214554,1.551173,1.018402,1.248137,-4.539062
75.08675474214554,1.548002,1.017416,1.245234,-4.539062
75.09375474214553,1.515374,1.01541,1.245467,-4.539062
75.10075474214554,1.547088,1.022344,1.245592,-4.539062
75.10775474214554,1.569932,1.013313,1.250502,-4.539062
75.11475474214554,1.534779,1.011145,1.252061,-4.539062
75.12175474214554,1.517901,1.012418,1.254175,-4.53125
75.12875474214553,1.574878,1.01713,1.250609,-4.53125
75.13575474214554,1.580683,1.006433,1.253082,-4.53125
75.14275474214554,1.554452,1.017918,1.25034,-4.53125
75.14975474214553,1.53494,1.019835,1.252078,-4.53125
75.15675474214554,1.562783,1.029027,1.252956,-4.53125
75.16375474214554,1.559827,1.021896,1.261091,-4.53125
75.17075474214553,1.539186,1.020427,1.261485,-4.53125
75.17775474214554,1.558107,1.018635,1.258116,-4.53125
75.18475474214554,1.582994,1.013618,1.256074,-4.53125
75.19175474214553,1.557354,1.008727,1.257991,-4.53125
75.19875474214554,1.536176,1.019746,1.26247,-4.53125
75.20575474214554,1.515751,1.012991,1.263581,-4.5
75.21275474214553,1.565901,1.017918,1.254569,-4.5
75.21975474214554,1.558107,1.013098,1.25335,-4.5
75.22675474214554,1.537681,1.012077,1.260141,-4.5
75.23375474214554,1.523545,1.020803,1.261843,-4.5
75.24075474214554,1.582295,1.020606,1.251326,-4.5
75.24775474214553,1.569771,1.018079,1.25129,-4.5
75.25475474214554,1.529027,1.002671,1.250108,-4.5
75.26175474214554,1.535047,1.010554,1.248692,-4.5
75.26875474214553,1.557193,1.004426,1.245503,-4.5
75.27575474214554,1.579016,1.006272,1.240199,-4.5
75.28275474214554,1.537359,1.005161,1.250412,-4.5
75.28975474214553,1.52505,1.002832,1.249946,-4.5
75.29675474214554,1.545583,1.008673,1.243156,-4.5
75.30375474214554,1.592454,1.006559,1.242439,-4.5
75.31075474214553,1.553108,1.001201,1.250538,-4.5
75.31775474214554,1.54784,1.00242,1.245754,-4.5
75.32475474214554,1.561225,1.001434,1.247169,-4.5
75.33175474214553,1.597238,1.004856,1.247796,-4.484375
75.33875474214554,1.5487,1.004498,1.256827,-4.484375
75.34575474214554,1.553377,1.014765,1.257686,-4.484375
75.35275474214554,1.535316,1.015016,1.247904,-4.484375
75.35975474214554,1.606913,1.019387,1.237494,-4.484375
75.36684974217415,1.548217,1.025408,1.240665,-4.484375
75.37375474214554,1.531231,1.021322,1.24011,-4.484375
75.38075474214554,1.563751,1.022164,1.236078,-4.484375
75.38775474214553,1.573641,1.006612,1.245126,-4.484375
75.39475474214554,1.527307,1.011701,1.247814,-4.484375
75.40175474214554,1.527899,1.012579,1.236437,-4.484375
75.40875474214553,1.5487,1.009515,1.238121,-4.484375
75.41575474214554,1.572244,1.019047,1.243407,-4.484375
75.42275474214554,1.535585,1.013278,1.248441,-4.484375
75.42975474214553,1.545798,1.013224,1.245969,-4.484375
75.43675474214554,1.518062,1.016807,1.241884,-4.484375
75.44375474214554,1.563751,1.016449,1.242708,-4.484375
75.45075474214553,1.515052,1.009927,1.248405,-4.484375
75.45775474214554,1.509354,1.012937,1.249516,-4.484375
75.46475474214554,1.520588,1.007938,1.244051,-4.484375
75.47175474214554,1.552893,1.019853,1.239787,-4.484375
75.47875474214554,1.520481,1.02315,1.24088,-4.484375
75.48575474214555,1.508763,1.019405,1.241758,-4.484375
75.49275474214554,1.509032,1.013027,1.249248,-4.484375
75.49975474214554,1.553592,1.011826,1.230273,-4.53125
75.50675474214553,1.498335,1.004301,1.242099,-4.53125
75.51375474214554,1.512364,1.004641,1.245288,-4.53125
75.52075474214554,1.544884,0.9988,1.239805,-4.53125
75.52775474214553,1.561117,0.995109,1.241113,-4.53125
75.53475474214554,1.511182,0.999356,1.236562,-4.53125
75.54175474214554,1.539455,1.00285,1.236705,-4.53125
75.54875474214553,1.548485,1.009085,1.244284,-4.53125
75.55575474214554,1.579661,1.008888,1.234842,-4.53125
75.56275474214554,1.547249,1.006971,1.228446,-4.53125
75.56975474214553,1.534134,1.017309,1.229646,-4.53125
75.57675474214554,1.532736,1.00896,1.240486,-4.53125
75.58375474214554,1.585628,1.004391,1.235344,-4.53125
75.59075474214553,1.527468,1.012668,1.235756,-4.53125
75.59775474214554,1.521932,1.018223,1.23753,-4.53125
75.60475474214554,1.542089,1.008798,1.232136,-4.53125
75.61175474214554,1.579608,1.006827,1.242994,-4.53125
75.61876174211503,1.526071,1.000037,1.237906,-4.53125
75.6247687420845,1.531339,0.999481,1.231671,-4.484375
