Time(s),P_Fuel_Tank(bar),P_Chamber(bar),P_Fuel_Injector(bar),P_Ox_Injector(bar),Fuel_Flow_Rate(L/s),Ox_Valve_Angle(deg),Fuel_Valve_Angle(deg),P_Angle(deg),I_Angle(deg),P_Ox_Tank(bar),P_N2_Tank(bar),Ox_Mass(kg),Thrust(N)
-0.36248642578129875,49.065605,1.033858,0.994215,1.096589,0.588828,0.12007437173873929,0.10863871728743077,0.0,0.0,48.283512,187.451706,6.080653924566769,20.174719
-0.3573555664061132,49.088837,1.019355,1.020149,1.104914,0.588828,4.531757931985846,4.100161938463383,0.0,0.0,48.284908,187.501266,6.0649735983690105,19.844759
-0.3514854492186714,49.127918,1.018081,1.008421,1.071458,0.408844,9.579079949619144,8.666786621083988,0.0,0.0,48.273094,187.491028,6.074951681957187,18.053545
-0.34607651367196013,49.082783,0.998482,1.048072,1.078718,0.408844,14.229862652192168,12.874637637697674,0.0,0.0,48.260773,187.355591,6.09490632008155,19.420523
-0.3404986328123414,49.069813,1.026563,1.056414,1.070551,0.257886,19.025910154141428,17.21391871088986,0.0,0.0,48.228783,187.470123,5.992280428134555,17.487898
-0.3354866699219201,49.100388,1.019669,1.010376,1.087566,0.257886,23.335362562226354,21.112947080109556,0.0,0.0,48.267437,187.465637,6.027915392456676,19.231976
-0.3286546386716509,49.087364,1.030419,0.999294,1.082907,0.18513,29.20977028729083,26.42788740278694,0.0,0.0,48.206165,187.459183,6.099182161060142,18.854877
-0.32323862304701834,49.076576,1.046074,0.986047,1.095001,0.18513,33.866640676542914,30.64124632639597,0.0,0.0,48.177158,187.354675,6.09490632008155,19.609072
-0.317486669921891,49.100822,1.019512,1.052034,1.059678,0.18513,38.81236130270497,35.115945940542595,0.0,0.0,48.256599,187.519302,6.073526911314985,19.939034
-0.31148666992157814,49.121243,1.044119,1.001929,1.100376,0.18513,43.971360882864516,39.78361222735361,0.0,0.0,48.282238,187.496841,6.073526911314985,18.854877
-0.3056817382812369,49.080196,1.032287,1.020952,1.057776,0.0,48.962634199004384,44.29952618005158,0.0,0.0,48.200474,187.315948,6.112011416921509,18.28923
-0.2998677734371995,49.073097,1.034713,0.993918,1.07254,0.0,53.96167456366581,48.8224674623643,0.0,0.0,48.218678,187.453842,6.049294801223241,20.410404
-0.2944747070309859,49.111263,1.017261,1.043238,1.090882,0.0,58.59881245126852,53.017973170195326,0.0,0.0,48.177402,187.516739,6.010810295616717,19.279112
-0.28850180664039726,49.082096,1.030943,1.01788,1.09097,0.0,63.73451088586337,57.664557468162094,0.0,0.0,48.122814,187.498917,6.045018960244648,19.326248
-0.2824808105469856,49.050541,1.032618,1.039172,1.099329,0.0,68.91156360582978,62.34855754813171,0.0,0.0,48.24374,187.440674,6.060697655453619,18.713465
